Month,Date,Headline_Original,Sentiment,Headline_Clean
April,"Updated: Apr 08, 2020 18:16 IST",2 lockdown violations that reveal the weak spot of Indian State | Opinion,0,lockdown violations reveal weak spot indian state opinion
April,"Updated: Apr 08, 2020 14:46 IST","Purab Kohli reveals how he and his family got down with Covid-19, says “Once panic sets in, it is not easy to handle”",0,purab kohli reveal family get say panic set not easy handle
April,"Updated: Apr 08, 2020 12:14 IST","No, tourism ministry did not order hotels, restaurants to remain closed till October 15, PIB Fact Check rubbishes fake news",0,no tourism ministry not order hotels restaurants remain close till october pib fact check rubbish fake news
April,"Updated: Apr 08, 2020 08:45 IST",How anti-Americanism blinds us,0,blind us
April,"Updated: Apr 08, 2020 10:55 IST",5-point plan to tackle worst case,0,plan tackle worst case
April,"Updated: Apr 08, 2020 06:17 IST",Residents rethink daily menu as meat shortage hits hard,0,residents rethink daily menu meat shortage hit hard
April,"Updated: Apr 07, 2020 23:15 IST","Markaz's neighbour, Nizamuddin East is fighting hard against anxiety",0,markaz neighbour nizamuddin east fight hard anxiety
April,"Updated: Apr 07, 2020 21:33 IST",‘Fake VIP' held for violating curfew in Nabha,0,fake vip hold violate curfew nabha
April,"Updated: Apr 07, 2020 16:27 IST","As morgues overflow, New York struggles with Covid-19 dead",0,morgues overflow new york struggle dead
April,"Updated: Apr 07, 2020 15:25 IST","‘Horrific', says activist as hundreds of lockdown-hit animals die in Pakistan",0,horrific say activist hundreds animals die pakistan
April,"Updated: Apr 07, 2020 15:15 IST","Ratna Pathak believed Sarabhai Vs Sarabhai was cruel to middle class: ‘But today, I feel we should have been harsher'",0,ratna pathak believe sarabhai vs sarabhai cruel middle class today feel harsher
April,"Updated: Apr 07, 2020 14:42 IST","Alleged middleman Michel bail plea over Covid-19 denied; you are in a separate cell, says judge",0,alleged middleman michel bail plea deny separate cell say judge
April,"Updated: Apr 07, 2020 14:24 IST","Actor Jay Benedict, known for Aliens and The Dark Knight Rises, dies due to Covid-19",0,actor jay benedict know aliens dark knight rises die due
April,"Updated: Apr 07, 2020 13:12 IST",WhatsApp to impose new limit on forwarding to fight fake news,0,whatsapp impose new limit forward fight fake news
April,"Updated: Apr 07, 2020 12:08 IST",Jos Buttler says it is ‘a big shame' that revenue generator IPL is not happening due to COVID-19 pandemic,0,jos buttler say big shame revenue generator ipl not happen due pandemic
April,"Updated: Apr 07, 2020 12:49 IST","Will supply paracetamol, hydroxychloroquine to countries badly affected by Covid-19: MEA",0,supply paracetamol hydroxychloroquine countries badly affect mea
April,"Updated: Apr 07, 2020 10:35 IST",Coronavirus: Bengaluru top cop warns social media hate mongers,0,coronavirus bengaluru top cop warn social media hate monger
April,"Updated: Apr 07, 2020 10:08 IST",LNMU Vice- Chancellor falls prey to lockdown related fake viral message,0,lnmu chancellor fall prey lockdown relate fake viral message
April,"Updated: Apr 07, 2020 00:09 IST",School principal among two held for fake WhatsApp post in Ludhiana,0,school principal among two hold fake whatsapp post ludhiana
April,"Updated: Apr 07, 2020 09:38 IST","Coronavirus update: 63% of those dead over 60 yrs, shows govt data",0,coronavirus update dead yrs show govt data
April,"Updated: Apr 07, 2020 13:02 IST",Four arrested for shooting at mosque; cops say they were looking for Tablighi Jamaat members,0,four arrest shoot mosque cop say look tablighi jamaat members
April,"Updated: Apr 07, 2020 07:09 IST",800 Yerawada jail inmates approach Bombay HC with release request; threaten to go on strike if not heard,0,yerawada jail inmates approach bombay hc release request threaten go strike not hear
April,"Updated: Apr 06, 2020 20:41 IST",34 cases filed against fake news circulation in Punjab,0,case file fake news circulation punjab
April,"Updated: Apr 07, 2020 16:10 IST","On the Frontline: Single rural women and farm widows are worst affected by lockdown, says Seema Kulkarni",0,frontline single rural women farm widow worst affect lockdown say seema kulkarni
April,"Updated: Apr 06, 2020 18:53 IST",Share profits from low crude oil prices with people in lockdown: Congress tells govt,0,share profit low crude oil price people lockdown congress tell govt
April,"Updated: Apr 06, 2020 17:32 IST","Rs1 crore compensation, civic job for family member if PMC staffer dies due to Covid-19 while on duty",0,crore compensation civic job family member pmc staffer die due duty
April,"Updated: Apr 06, 2020 16:14 IST","Pic claiming Amit Shah is infected with COVID-19 is fake, says PIB fact check",0,pic claim amit shah infect fake say pib fact check
April,"Updated: Apr 06, 2020 15:45 IST","No, WHO did not issue protocol on lockdown in phases. Don't believe the fake WhatsApp forward",0,no not issue protocol lockdown phase believe fake whatsapp forward
April,"Updated: Apr 06, 2020 15:29 IST","Covid-19: Assam cracks down against fake news; 12 cases lodged, 7 arrested",0,assam crack fake news case lodge arrest
April,"Updated: Apr 06, 2020 14:11 IST","Hidden suffering of coronavirus: Stigma, blaming, shaming",0,hidden suffer coronavirus stigma blame sham
April,"Updated: Apr 06, 2020 15:42 IST","A long war against coronavirus, must not get tired or rest, says PM Modi",0,long war coronavirus must not get tire rest say pm modi
April,"Updated: Apr 06, 2020 14:15 IST","Amid coronavirus crisis, a look at countries untouched by the deadly contagion",0,amid coronavirus crisis look countries untouched deadly contagion
April,"Updated: Apr 07, 2020 06:35 IST","Stop entry of monkeys, birds in quarantine facilities: Govt guidelines",0,stop entry monkey bird quarantine facilities govt guidelines
April,"Updated: Apr 06, 2020 08:38 IST","‘IPL a cash cow, break will lead to anxiety and insecurity for few players': Former Rajasthan Royals coach",0,ipl cash cow break lead anxiety insecurity players former rajasthan royals coach
April,"Updated: Apr 06, 2020 09:54 IST",Realty braces for the worst amid cash flow pressures,0,realty brace worst amid cash flow pressure
April,"Updated: Apr 06, 2020 00:41 IST",Odisha posts highest single day jump in Covid-19 cases after govt denies community transmission,0,odisha post highest single day jump case govt deny community transmission
April,"Updated: Apr 06, 2020 00:21 IST",Sedition case against Ludhiana resident for posting fake info on Facebook,0,sedition case ludhiana resident post fake info facebook
April,"Updated: Apr 06, 2020 01:57 IST",Delhi's homeless children having tough time in lockdown,0,delhi homeless children tough time lockdown
April,"Updated: Apr 05, 2020 21:58 IST",Foreign Tablighi workers stopped from leaving at airports; cops say action begins,0,foreign tablighi workers stop leave airports cop say action begin
April,"Updated: Apr 05, 2020 20:52 IST",Covid-19: India unable to take full advantage of drop in oil prices,0,india unable take full advantage drop oil price
April,"Updated: Apr 06, 2020 16:29 IST","Pune division's PPE, mask supply for doctors shows little margin for error",0,pune division ppe mask supply doctor show little margin error
April,"Updated: Apr 05, 2020 19:00 IST",Dombivli broker held for circulating fake video on coronavirus,0,dombivli broker hold circulate fake video coronavirus
April,"Updated: Apr 05, 2020 18:16 IST",Pope Francis calls for courage as he livestreams Palm Sunday mass due to coronavirus ‘tragedy',0,pope francis call courage livestreams palm sunday mass due coronavirus tragedy
April,"Updated: Apr 05, 2020 15:39 IST","Coronavirus donation scam: Fake ‘PM CARES' links can fool Indians, say cyber police officials",0,coronavirus donation scam fake pm cares link fool indians say cyber police officials
April,"Updated: Apr 05, 2020 09:25 IST","5G coronavirus conspiracy theory is dangerous fake nonsense, says UK",0,coronavirus conspiracy theory dangerous fake nonsense say uk
April,"Updated: Apr 05, 2020 13:06 IST","‘During a grocery run, realised things are not easy for disabled people in lockdown'",0,grocery run realise things not easy disable people lockdown
April,"Updated: Apr 05, 2020 07:17 IST",France to test plasma of coronavirus survivors to treat sick,0,france test plasma coronavirus survivors treat sick
April,"Updated: Apr 05, 2020 06:45 IST","Cycling home to meet sick dad, Rajouri man may shake admn's quarantine plans",0,cycling home meet sick dad rajouri man may shake admn quarantine plan
April,"Updated: Apr 05, 2020 06:51 IST",Coronavirus lockdown: Chandigarh Police register two FIRs for hate messages on Facebook,0,coronavirus lockdown chandigarh police register two firs hate message facebook
April,"Updated: Apr 05, 2020 03:08 IST","Welfare schemes, well-oiled PDS helping Tamil Nadu's poor",0,welfare scheme pds help tamil nadu poor
April,"Updated: Apr 05, 2020 04:05 IST",Biomedical waste from quarantined homes remains a potential hazard,0,biomedical waste quarantine home remain potential hazard
April,"Updated: Apr 04, 2020 23:34 IST",People between 21-40 worst hit by virus: Ministry data,0,people worst hit virus ministry data
April,"Updated: Apr 04, 2020 23:30 IST","Gurugram: Fire in manufacturing unit in Manesar; three firemen suffer minor burns, no other casualty reported",0,gurugram fire manufacture unit manesar three firemen suffer minor burn no casualty report
April,"Updated: Apr 05, 2020 01:24 IST","Kejriwal hits out at Centre for PPE shortage, says have not received a “single rupee” from Rs 17,000 crore fund",0,kejriwal hit centre ppe shortage say not receive single rupee rs crore fund
April,"Updated: Apr 05, 2020 12:08 IST","In Bengal, 32 arrested in 7 days for spreading fake news amid lockdown",0,bengal arrest days spread fake news amid lockdown
April,"Updated: Apr 04, 2020 21:37 IST",‘Not fair to single out Tablighi Jamaat for Covid-19 spread': Jagan Reddy,0,not fair single tablighi jamaat spread jagan reddy
April,"Updated: Apr 04, 2020 19:20 IST","Actor Sharmiela Mandre sustains serious injuries in road accident, suspected of going on joyride without permit during lockdown",0,actor sharmiela mandre sustain serious injuries road accident suspect go joyride without permit lockdown
April,"Updated: Apr 04, 2020 17:03 IST",Harbhajan lauds Sikh man for providing food to poor woman,0,harbhajan laud sikh man provide food poor woman
April,"Updated: Apr 04, 2020 16:56 IST",The lockdown is making women more vulnerable | Opinion,0,lockdown make women vulnerable opinion
April,"Updated: Apr 04, 2020 16:25 IST","When Hrithik Roshan talked about his hard childhood: ‘We could not pay rent, slept on mats'",0,hrithik roshan talk hard childhood could not pay rent sleep mat
April,"Updated: Apr 04, 2020 14:21 IST","Don't believe in fake news about UP board exam circulated on social media, says board secretary",0,believe fake news board exam circulate social media say board secretary
April,"Updated: Apr 04, 2020 10:44 IST",Tablighi missionaries: Haryana police book 106 foreign nationals for visa violations,0,tablighi missionaries haryana police book foreign nationals visa violations
April,"Updated: Apr 04, 2020 10:53 IST",Biomedical waste from quarantine homes remain a potential hazard,0,biomedical waste quarantine home remain potential hazard
April,"Updated: Apr 04, 2020 10:05 IST",Delhi's Safdarjung Hospital seeks details of WhatsApp group admins to deal with fake news on Covid-19,0,delhi safdarjung hospital seek detail whatsapp group admins deal fake news
April,"Updated: Apr 04, 2020 08:28 IST","‘Worst yet to come' for countries in conflict, says UN chief Antonio Guterres amid coronavirus crisis",0,worst yet come countries conflict say un chief antonio guterres amid coronavirus crisis
April,"Updated: Apr 04, 2020 03:36 IST","Lack of PPE,  poor infection control put medical staff at risk of Covid-19",0,lack ppe poor infection control put medical staff risk
April,"Updated: Apr 04, 2020 16:57 IST","Covid-19: Biggest challenge in this disaster is absence of private doctors, says Shantilal Muttha",0,biggest challenge disaster absence private doctor say shantilal muttha
April,"Updated: Apr 03, 2020 19:35 IST",Disappointing but glad Olympics has been cancelled: Mo Farah,0,disappointing glad olympics cancel mo farah
April,"Updated: Apr 03, 2020 19:18 IST","Poultry industry suffers Rs 13,000 crore loss due to Covid-19 pandemic",0,poultry industry suffer rs crore loss due pandemic
April,"Updated: Apr 03, 2020 18:14 IST",Raveena Tandon on Covid-19 crisis: Abusing the planet has made it hard for us to step out,0,raveena tandon crisis abusing planet make hard us step
April,"Updated: Apr 03, 2020 18:05 IST",Wikipedia's SWASTHA project to help fight Covid-19 fake news in India: Report,0,wikipedia swastha project help fight fake news india report
April,"Updated: Apr 03, 2020 16:50 IST",Isolated and afraid: How the coronavirus pandemic is changing pregnancy,0,isolated afraid coronavirus pandemic change pregnancy
April,"Updated: Apr 03, 2020 15:26 IST","Hrithik Roshan posts father Rakesh Roshan's workout video: ‘He survived cancer last year, virus should be afraid of him'",0,hrithik roshan post father rakesh roshan workout video survive cancer last year virus afraid
April,"Updated: Apr 03, 2020 14:16 IST",Amazon executive called fired worker ‘not smart or articulate' in leaked memo,0,amazon executive call fire worker not smart articulate leak memo
April,"Updated: Apr 03, 2020 13:35 IST","In these troubles times, step up UPSC preparations with UPSCGuide",0,trouble time step upsc preparations upscguide
April,"Updated: Apr 03, 2020 12:54 IST",Covid-19 Update: Scientists bat for clinical trials in poor and middle-income countries,0,update scientists bat clinical trials poor countries
April,"Updated: Apr 04, 2020 04:37 IST",‘Superheroes': Coronavirus survivors donate plasma hoping to heal the sick,0,superheroes coronavirus survivors donate plasma hop heal sick
April,"Updated: Apr 04, 2020 04:37 IST",Global group calls for Covid-19 clinical research in poor nations,0,global group call clinical research poor nations
